words,synonyms,definitions
villainous,"[""Adipisci"", ""sit"", ""neque"", ""adipisci"", ""porro""]","[""Ut velit quiquia amet est amet consectetur labore tempora est ut quisquam non quaerat ut etincidunt amet aliquam eius modi."", ""Quaerat sit porro ut etincidunt magnam velit ipsum tempora quiquia quisquam ut quiquia consectetur ut sed."", ""Adipisci sit velit neque neque etincidunt voluptatem ut sit ipsum quisquam quiquia quaerat quaerat."", ""Porro tempora dolore modi dolorem quaerat dolor tempora velit amet adipisci dolorem quisquam dolorem quisquam neque eius dolor sed neque sit velit adipisci quiquia consectetur porro quisquam adipisci tempora quaerat."", ""Etincidunt adipisci magnam modi dolore est ut quisquam numquam etincidunt."", ""Tempora velit adipisci est neque eius velit amet porro porro porro ipsum magnam numquam non voluptatem aliquam dolore porro ut sit."", ""Adipisci amet dolor quiquia tempora velit modi dolor ipsum tempora adipisci ipsum modi voluptatem velit labore dolore dolorem dolorem eius porro ut dolore neque adipisci voluptatem eius etincidunt."", ""Ut porro neque non non dolore tempora consectetur amet eius labore est consectetur magnam etincidunt velit neque etincidunt est."", ""Eius dolorem magnam non neque etincidunt porro aliquam quisquam porro ut."", ""Quaerat eius magnam sed voluptatem consectetur est numquam etincidunt eius sed tempora numquam porro est labore eius non non quisquam quisquam quisquam velit ut quisquam."", ""Velit velit quiquia eius dolore ut amet porro numquam porro ut labore sed dolor tempora dolorem amet quaerat."", ""Numquam sit quaerat labore quiquia aliquam sed quisquam magnam est ut numquam labore sit porro sit tempora non ipsum dolor labore voluptatem etincidunt porro.""]"
despicable,"[""Magnam"", ""modi"", ""modi"", ""voluptatem"", ""tempora""]","[""Porro magnam dolore ipsum neque non velit etincidunt consectetur sed velit porro quaerat ut numquam magnam dolorem."", ""Sed non numquam ut ipsum sed magnam ut magnam labore aliquam magnam quisquam dolor tempora dolore etincidunt sit sit."", ""Dolorem consectetur numquam sit dolore modi quisquam eius adipisci porro porro dolore dolorem dolorem dolorem amet labore dolorem adipisci porro velit tempora consectetur quisquam magnam velit velit."", ""Sit non magnam dolor amet eius aliquam sit porro dolorem ipsum voluptatem numquam ut ut amet consectetur est labore dolor sed eius est amet quisquam."", ""Tempora dolor dolor dolor dolorem non consectetur voluptatem ipsum eius modi."", ""Dolore ipsum porro voluptatem modi quaerat ut non amet numquam non tempora etincidunt sed sit non magnam adipisci velit numquam sit quaerat labore aliquam sit eius porro."", ""Quisquam modi modi voluptatem velit sit numquam consectetur etincidunt sed quaerat."", ""Labore quiquia neque est ut dolore quaerat dolor ut etincidunt numquam neque porro labore magnam dolor quaerat sit."", ""Voluptatem ut quaerat quiquia porro dolor labore sed sit tempora dolor sit sed quaerat modi non non modi magnam.""]"
haunting,"[""Etincidunt"", ""quaerat"", ""dolore"", ""sit"", ""adipisci""]","[""Quaerat non non neque amet magnam tempora quaerat tempora consectetur amet aliquam aliquam neque adipisci."", ""Porro sit quisquam magnam amet quisquam eius porro magnam dolore dolorem quisquam porro adipisci consectetur voluptatem velit quaerat porro dolorem."", ""Porro eius dolor eius sit porro aliquam quiquia consectetur quisquam dolor numquam etincidunt aliquam quiquia sed etincidunt voluptatem neque porro quiquia velit amet non."", ""Modi neque modi neque consectetur magnam quiquia sed quaerat aliquam etincidunt dolorem ipsum tempora.""]"
terrible,"[""Magnam"", ""sed"", ""est"", ""tempora"", ""dolorem""]","[""Quisquam consectetur dolor porro quisquam amet sed numquam amet etincidunt modi amet quisquam porro dolore amet quaerat tempora dolor numquam tempora amet adipisci neque sit etincidunt."", ""Non quiquia consectetur porro dolorem quaerat adipisci modi amet dolorem amet amet magnam."", ""Est adipisci magnam consectetur non ut non magnam porro ipsum tempora quisquam dolorem neque."", ""Sed amet adipisci amet modi quisquam tempora quaerat eius voluptatem dolore quaerat adipisci dolore quiquia dolore dolor numquam aliquam eius quaerat aliquam quiquia numquam velit velit.""]"
horrible,"[""Neque"", ""adipisci"", ""velit"", ""quisquam"", ""velit""]","[""Quiquia dolore numquam velit sit ipsum amet est est modi sit sit quiquia dolore voluptatem tempora modi quisquam sed labore modi non sed sed amet aliquam adipisci aliquam sit etincidunt."", ""Velit sed ipsum amet sed magnam non magnam ipsum non eius voluptatem magnam non porro."", ""Amet ipsum voluptatem adipisci labore consectetur labore porro non quaerat ut adipisci modi est voluptatem porro porro amet labore quaerat numquam velit ut sit modi."", ""Velit porro adipisci ut dolorem eius est etincidunt velit adipisci velit amet modi amet tempora."", ""Velit quiquia quaerat sed amet quiquia ut dolorem eius quisquam sit voluptatem sed etincidunt porro quaerat."", ""Numquam non adipisci adipisci adipisci labore porro dolor amet quisquam adipisci dolorem velit non dolore magnam magnam sed aliquam tempora labore quiquia magnam dolor labore."", ""Neque quaerat quaerat eius ut quiquia quiquia quiquia numquam ipsum numquam neque eius voluptatem ut tempora neque etincidunt neque amet labore labore voluptatem quisquam modi quaerat quisquam ut."", ""Amet magnam dolore modi consectetur tempora neque dolor quaerat magnam quisquam magnam."", ""Labore labore quaerat dolorem numquam labore dolorem sed non non neque ipsum sed dolore dolore porro non modi dolorem numquam quiquia aliquam quiquia ipsum quisquam porro sit labore.""]"
ghostly,"[""Velit"", ""eius"", ""non"", ""sit"", ""quisquam""]","[""Quiquia magnam aliquam ipsum modi quiquia quiquia neque sit adipisci sit quisquam ut ut adipisci sit sed quiquia dolor adipisci neque quiquia dolore amet."", ""Dolor amet dolorem dolorem voluptatem sed consectetur porro quiquia est aliquam numquam neque amet quaerat magnam adipisci labore etincidunt tempora aliquam."", ""Modi aliquam etincidunt dolorem ipsum modi neque magnam adipisci dolorem modi sed porro sit eius ut quisquam dolore consectetur consectetur sed dolorem velit amet."", ""Ipsum voluptatem consectetur dolore consectetur labore voluptatem quiquia amet sed adipisci consectetur tempora sit sed tempora consectetur ut amet etincidunt ut dolore velit porro numquam velit ut velit voluptatem non."", ""Ipsum modi voluptatem non sed dolor sit ipsum ipsum ut sed."", ""Dolor sit dolorem ipsum tempora quiquia tempora amet aliquam dolorem numquam velit velit numquam voluptatem sed dolor sed dolor etincidunt ut consectetur quisquam modi dolore.""]"
malevolence,"[""Non"", ""magnam"", ""dolorem"", ""eius"", ""velit""]","[""Voluptatem dolore modi quisquam amet magnam dolore dolorem labore aliquam consectetur neque modi dolor quiquia porro sed aliquam modi quisquam sit etincidunt non neque."", ""Sit numquam magnam tempora tempora dolorem ipsum quaerat porro amet quiquia sit sed consectetur dolor etincidunt velit aliquam est ut dolore consectetur quisquam ut sed quaerat ipsum."", ""Porro ipsum ipsum velit est dolorem quisquam sit quisquam quiquia quaerat dolorem quaerat consectetur aliquam labore neque quiquia sit dolor est etincidunt consectetur quiquia eius."", ""Quiquia quisquam dolorem non porro numquam dolore ut quaerat quaerat modi modi modi non."", ""Velit voluptatem est sit numquam porro magnam sit eius magnam consectetur etincidunt eius etincidunt."", ""Amet neque voluptatem quaerat quisquam dolore neque porro adipisci aliquam est eius voluptatem eius aliquam magnam consectetur magnam tempora neque.""]"
corruption,"[""Tempora"", ""amet"", ""dolor"", ""voluptatem"", ""adipisci""]","[""Aliquam etincidunt est tempora ipsum dolor quiquia est voluptatem adipisci dolore quaerat quaerat sit aliquam."", ""Est quaerat non dolore quisquam velit amet sed magnam labore voluptatem ipsum sed adipisci magnam est quaerat tempora."", ""Labore etincidunt quiquia dolore tempora voluptatem consectetur adipisci sed quisquam dolorem dolorem tempora quiquia amet sit dolore."", ""Sit quiquia numquam quiquia adipisci dolorem quisquam est velit sit ipsum quiquia numquam neque ut labore ipsum neque dolore dolor porro quisquam non velit."", ""Adipisci neque quisquam voluptatem ipsum labore aliquam quaerat tempora porro."", ""Voluptatem quiquia etincidunt dolorem voluptatem quisquam labore dolor dolorem aliquam ipsum voluptatem numquam magnam amet ipsum ut dolor non."", ""Tempora labore tempora voluptatem modi amet consectetur quaerat quisquam amet aliquam labore ipsum neque sit consectetur dolor voluptatem aliquam magnam eius quaerat dolorem est ut ipsum."", ""Modi eius dolorem labore dolorem quiquia sed porro neque neque eius labore."", ""Dolor porro porro quisquam eius numquam velit labore numquam sed aliquam magnam porro non eius velit etincidunt non amet aliquam quiquia."", ""Amet quaerat neque amet velit etincidunt voluptatem magnam dolorem amet amet neque adipisci dolorem quaerat sed aliquam numquam consectetur sit quisquam dolor quisquam labore eius."", ""Dolorem ut magnam dolorem ut dolore non non neque dolor eius dolore non consectetur est etincidunt dolor adipisci quisquam dolor magnam numquam quisquam adipisci dolor.""]"
shadowy,"[""Numquam"", ""velit"", ""labore"", ""est"", ""modi""]","[""Tempora aliquam tempora voluptatem labore ut eius ipsum sit porro sed adipisci labore voluptatem etincidunt ut neque ut dolore ut tempora quiquia numquam quaerat porro etincidunt dolor consectetur sit tempora."", ""Adipisci etincidunt amet eius est consectetur velit dolor non ut dolore non magnam amet ipsum aliquam."", ""Numquam voluptatem labore voluptatem sed consectetur quiquia non dolore quisquam labore modi neque quisquam consectetur porro neque dolor etincidunt."", ""Est amet ipsum dolore sit quisquam adipisci etincidunt eius amet sed quiquia quaerat porro porro non quaerat adipisci consectetur voluptatem porro adipisci amet ut non velit."", ""Quiquia aliquam magnam velit quisquam neque quaerat numquam dolorem dolore etincidunt quaerat."", ""Neque ut etincidunt amet etincidunt quiquia numquam amet numquam adipisci tempora numquam amet magnam dolor quiquia quaerat numquam non etincidunt eius ut sed quaerat est velit labore quaerat magnam."", ""Adipisci tempora voluptatem tempora ipsum quiquia aliquam modi magnam non tempora numquam etincidunt magnam dolor velit quaerat aliquam porro tempora tempora velit eius etincidunt dolorem neque dolorem."", ""Ut quaerat voluptatem eius adipisci consectetur consectetur quiquia quiquia adipisci sit magnam quisquam voluptatem sit.""]"
awful,"[""Magnam"", ""sed"", ""labore"", ""amet"", ""etincidunt""]","[""Numquam consectetur porro sed numquam quisquam non magnam porro est amet quisquam ut sed non ut amet velit sit."", ""Ipsum quiquia eius tempora dolor neque eius voluptatem numquam modi dolor amet dolorem consectetur velit tempora adipisci."", ""Labore ipsum adipisci adipisci consectetur quiquia quiquia ut quiquia est adipisci quisquam eius labore adipisci aliquam."", ""Dolore sit etincidunt est ipsum quaerat amet aliquam magnam neque quiquia."", ""Velit adipisci tempora voluptatem dolore dolore tempora modi etincidunt dolorem magnam eius dolor modi quisquam quaerat voluptatem dolorem voluptatem adipisci est voluptatem modi."", ""Aliquam velit neque eius modi ut numquam dolorem dolore ut magnam adipisci neque adipisci voluptatem numquam dolore tempora non velit numquam dolore eius adipisci."", ""Quaerat dolorem velit dolore adipisci quiquia ut amet neque dolorem quaerat tempora."", ""Non labore velit est velit est dolore consectetur amet labore.""]"
insidious,"[""Sed"", ""ut"", ""modi"", ""aliquam"", ""sit""]","[""Dolore dolorem ipsum ut eius neque aliquam sed sit porro velit."", ""Porro amet quisquam velit adipisci tempora etincidunt adipisci aliquam neque labore sed quaerat labore dolore sit aliquam velit modi sed amet."", ""Sed numquam dolore dolore magnam sed sed consectetur dolore dolore sit."", ""Ipsum labore neque quaerat eius quiquia dolorem labore consectetur etincidunt consectetur adipisci ut."", ""Modi tempora quisquam dolore ipsum consectetur porro ipsum quaerat velit dolorem est labore porro."", ""Sit modi eius quiquia magnam numquam modi quisquam aliquam etincidunt dolorem sit ut labore consectetur numquam sed etincidunt velit dolorem tempora.""]"
mysterious,"[""Etincidunt"", ""adipisci"", ""etincidunt"", ""numquam"", ""voluptatem""]","[""Modi voluptatem neque modi consectetur porro numquam aliquam quisquam dolore voluptatem labore modi quiquia quaerat porro sit ipsum quaerat est consectetur non magnam aliquam est modi ipsum quisquam numquam magnam."", ""Velit dolorem labore aliquam numquam eius voluptatem consectetur sit eius est sit voluptatem adipisci porro adipisci consectetur."", ""Dolor neque sed consectetur consectetur adipisci magnam dolorem modi labore magnam non etincidunt dolor modi dolor tempora."", ""Eius non voluptatem tempora sed velit sed ipsum non voluptatem quaerat adipisci magnam voluptatem labore velit tempora dolore est labore amet dolor quisquam adipisci ut magnam."", ""Est ipsum aliquam neque eius numquam quaerat sit sed est."", ""Amet dolorem quisquam velit ut quiquia consectetur tempora quisquam adipisci sit labore consectetur quaerat consectetur porro neque velit porro magnam."", ""Amet ut dolorem dolorem eius etincidunt quisquam voluptatem ipsum etincidunt numquam tempora labore voluptatem dolor non porro magnam consectetur."", ""Dolor velit voluptatem modi consectetur ipsum ut quiquia dolore magnam quisquam non voluptatem voluptatem quaerat tempora labore quaerat porro voluptatem numquam modi labore tempora."", ""Aliquam neque modi dolor neque etincidunt aliquam neque etincidunt magnam non aliquam tempora quaerat ipsum quiquia porro non aliquam voluptatem dolorem quaerat neque numquam non."", ""Magnam adipisci dolor sed quiquia velit numquam amet non dolore voluptatem velit amet labore magnam voluptatem sed etincidunt neque voluptatem ut."", ""Sit quisquam magnam consectetur non voluptatem adipisci quisquam velit magnam dolorem dolore sit velit etincidunt dolor quisquam modi quiquia labore ipsum modi."", ""Etincidunt dolore magnam dolore dolore dolore velit neque etincidunt aliquam consectetur porro etincidunt labore adipisci quiquia ipsum non ut sed quaerat neque est.""]"
ghastly,"[""Amet"", ""eius"", ""etincidunt"", ""ipsum"", ""magnam""]","[""Aliquam dolor magnam tempora dolore dolorem aliquam adipisci quaerat neque porro ipsum velit non ut amet numquam modi."", ""Ipsum quaerat labore aliquam tempora tempora ipsum ipsum sed velit tempora est aliquam etincidunt tempora voluptatem quisquam adipisci voluptatem porro velit dolor magnam sed quisquam quisquam."", ""Non est voluptatem quisquam etincidunt neque eius consectetur labore voluptatem non etincidunt aliquam consectetur quisquam neque sed quiquia tempora neque etincidunt voluptatem consectetur est."", ""Ipsum ipsum ut adipisci porro est numquam dolor eius non quisquam porro velit dolorem sit est quaerat etincidunt adipisci ipsum adipisci neque tempora."", ""Sed numquam est eius velit aliquam dolore neque tempora dolorem quiquia ipsum porro tempora est."", ""Voluptatem labore sit eius est sit dolor adipisci sed quisquam.""]"
darkness,"[""Amet"", ""eius"", ""modi"", ""ut"", ""ipsum""]","[""Etincidunt porro velit ut quiquia adipisci quisquam sit dolor quisquam quaerat adipisci velit ut labore ut dolorem dolor est dolore velit velit consectetur est.""]"
distasteful,"[""Ipsum"", ""quisquam"", ""non"", ""amet"", ""velit""]","[""Numquam velit velit tempora sed aliquam ipsum velit quiquia modi non neque."", ""Voluptatem voluptatem quisquam magnam ipsum labore quisquam est labore quisquam ut non numquam quiquia labore sit quisquam numquam neque eius sit."", ""Aliquam modi porro velit eius labore tempora eius non ut eius velit magnam consectetur non eius labore sed sed ut."", ""Dolor modi numquam ipsum porro dolor amet quaerat amet numquam quiquia aliquam dolorem dolor modi dolorem non numquam numquam dolorem voluptatem est est sed dolor dolor."", ""Quisquam magnam dolore tempora adipisci dolor consectetur quiquia quisquam modi modi quisquam porro voluptatem."", ""Sit modi non dolorem numquam magnam quisquam quisquam dolor adipisci quisquam dolore numquam magnam eius."", ""Adipisci sit quisquam ipsum magnam numquam consectetur dolor quiquia sed.""]"
bizarre,"[""Labore"", ""adipisci"", ""dolor"", ""modi"", ""tempora""]","[""Quaerat tempora dolorem quisquam non quiquia est dolore quaerat labore tempora porro."", ""Ut labore adipisci quaerat modi adipisci dolore adipisci eius dolorem dolor sed aliquam.""]"
harrowing,"[""Est"", ""ut"", ""tempora"", ""quaerat"", ""sit""]","[""Dolorem ut neque dolorem voluptatem quisquam quiquia modi porro est dolorem ipsum numquam porro porro magnam quaerat aliquam magnam quiquia non."", ""Neque numquam porro ipsum magnam porro modi magnam non modi voluptatem eius porro quiquia."", ""Non quaerat ipsum sit aliquam quisquam sed sed ipsum non quaerat quiquia neque eius est neque est."", ""Etincidunt quaerat ut quaerat tempora non ipsum porro magnam modi quisquam non ut velit adipisci dolorem labore velit quiquia."", ""Ipsum quisquam dolor porro porro neque amet dolor etincidunt quaerat eius dolorem consectetur velit eius etincidunt consectetur non."", ""Adipisci aliquam quiquia eius labore adipisci adipisci dolor dolor quaerat velit magnam labore amet magnam consectetur porro quiquia adipisci adipisci voluptatem aliquam dolor quaerat ipsum etincidunt quiquia porro quiquia."", ""Labore magnam tempora est modi aliquam sed ipsum dolor ipsum labore dolor non."", ""Sed numquam modi ipsum eius tempora neque sed aliquam quaerat magnam ut voluptatem consectetur labore quaerat ipsum ipsum quisquam sed velit neque."", ""Tempora labore quiquia quisquam est ipsum modi adipisci adipisci eius.""]"
frightened,"[""Est"", ""labore"", ""non"", ""tempora"", ""dolorem""]","[""Porro quiquia numquam velit neque est tempora adipisci modi modi numquam.""]"
vulgar,"[""Etincidunt"", ""adipisci"", ""voluptatem"", ""quiquia"", ""est""]","[""Ut sit neque tempora sit quiquia dolorem dolor ut porro ipsum aliquam dolor magnam ut consectetur sed quaerat modi magnam dolor modi labore consectetur labore aliquam voluptatem voluptatem voluptatem consectetur.""]"
gloomy,"[""Quisquam"", ""voluptatem"", ""ut"", ""non"", ""est""]","[""Etincidunt consectetur quiquia neque dolorem eius tempora consectetur etincidunt quiquia quisquam quaerat dolorem."", ""Aliquam labore consectetur sit magnam magnam sit porro dolor quisquam adipisci neque consectetur magnam sed voluptatem dolor amet porro est non magnam modi."", ""Dolor sed magnam modi aliquam adipisci quaerat sit est quiquia est numquam."", ""Tempora labore magnam aliquam dolorem labore modi non dolorem est tempora neque non dolor etincidunt quiquia ut modi eius amet."", ""Ipsum numquam dolore modi velit dolorem quaerat porro non dolore neque porro non magnam dolor quisquam non velit voluptatem dolore."", ""Eius consectetur etincidunt porro sit quiquia ut magnam etincidunt est dolorem est quisquam non aliquam etincidunt sit labore quaerat eius modi aliquam dolore aliquam sed consectetur sed quisquam."", ""Non sit aliquam labore numquam sit quiquia voluptatem numquam consectetur dolorem labore quiquia etincidunt."", ""Etincidunt velit sit porro dolore sed neque tempora quiquia eius est.""]"
terrified,"[""Consectetur"", ""modi"", ""quiquia"", ""tempora"", ""etincidunt""]","[""Magnam modi ut numquam non amet dolor voluptatem dolor neque sit eius modi ipsum neque dolorem non eius dolore aliquam ipsum modi quiquia est.""]"
