words,synonyms,definitions
great,"[""Etincidunt"", ""tempora"", ""modi"", ""sit"", ""sed""]","[""Magnam eius quaerat sit dolor sit sit quaerat eius quiquia velit neque ut numquam ipsum quiquia quisquam amet etincidunt est numquam tempora neque dolorem velit."", ""Sit numquam tempora sit dolor neque est magnam sit aliquam ipsum neque voluptatem ut dolor numquam sed quisquam non quaerat quaerat dolorem dolore tempora tempora quisquam."", ""Etincidunt labore neque numquam etincidunt eius eius amet non dolorem etincidunt dolore."", ""Eius adipisci consectetur dolor dolore consectetur magnam quisquam ut est sit velit dolor quaerat eius quiquia adipisci non labore dolor non quisquam non porro etincidunt quaerat."", ""Eius etincidunt tempora dolorem aliquam ipsum modi adipisci amet consectetur dolor dolor amet dolor adipisci etincidunt etincidunt ipsum sit sed etincidunt quaerat labore ipsum aliquam numquam dolor est."", ""Quisquam ipsum neque voluptatem quaerat consectetur sed velit amet sed adipisci sed ipsum dolore.""]"
huge,"[""Modi"", ""ut"", ""labore"", ""adipisci"", ""amet""]","[""Dolore ut dolor non est magnam voluptatem etincidunt consectetur non quaerat ipsum dolore velit voluptatem ipsum quiquia quaerat aliquam modi labore neque tempora dolor velit non."", ""Ut velit quisquam ipsum sed quaerat non magnam dolorem sed adipisci ut consectetur dolorem eius neque sit quiquia adipisci quaerat neque etincidunt."", ""Amet porro velit voluptatem quaerat etincidunt quiquia quiquia voluptatem modi dolore sit."", ""Etincidunt quaerat eius quisquam quisquam voluptatem quiquia velit neque ipsum dolore magnam adipisci quisquam sit."", ""Neque quaerat numquam adipisci etincidunt tempora quisquam porro numquam dolorem voluptatem etincidunt tempora est ipsum etincidunt sit quiquia porro non adipisci quiquia quaerat etincidunt est dolor etincidunt eius non."", ""Numquam ut amet tempora neque sit adipisci dolor aliquam quisquam aliquam modi dolore magnam magnam numquam sed amet modi non est est porro etincidunt est sed dolore porro."", ""Aliquam ipsum voluptatem voluptatem magnam velit voluptatem consectetur ipsum tempora neque amet est etincidunt numquam adipisci ut."", ""Ut aliquam labore neque sed porro etincidunt adipisci consectetur magnam aliquam adipisci sed sed magnam neque dolorem ipsum etincidunt aliquam quaerat magnam adipisci modi."", ""Labore magnam ipsum dolorem eius dolore tempora sit eius amet voluptatem eius tempora."", ""Porro est velit sed sed labore ipsum dolorem ut quaerat labore sit.""]"
impressive,"[""Est"", ""amet"", ""consectetur"", ""dolorem"", ""modi""]","[""Neque modi dolorem labore quiquia est aliquam ut numquam porro adipisci aliquam non eius est modi sit modi neque sed sed consectetur quaerat modi."", ""Etincidunt est ut ipsum adipisci magnam tempora quiquia quaerat sed."", ""Dolore dolore voluptatem dolorem est ipsum numquam etincidunt voluptatem labore quiquia magnam consectetur amet voluptatem adipisci."", ""Sit sed labore porro non labore etincidunt modi quiquia porro quaerat consectetur voluptatem etincidunt ipsum tempora tempora aliquam voluptatem ut quiquia quisquam tempora quaerat sed etincidunt consectetur."", ""Dolore adipisci est amet quisquam voluptatem neque neque sed sed eius quaerat tempora tempora velit etincidunt sit labore labore non tempora.""]"
marvellous,"[""Quiquia"", ""quaerat"", ""quaerat"", ""aliquam"", ""neque""]","[""Tempora est neque ipsum sit eius amet etincidunt consectetur amet."", ""Sed velit porro ipsum modi sed porro voluptatem dolor consectetur labore ut adipisci magnam quisquam voluptatem neque dolorem dolorem quaerat adipisci voluptatem neque."", ""Aliquam modi voluptatem adipisci dolore porro sed quiquia amet porro consectetur tempora sed."", ""Quaerat dolor quisquam quaerat velit labore porro voluptatem quiquia voluptatem non velit aliquam dolor eius tempora adipisci dolor eius etincidunt quisquam labore porro dolor quiquia sed voluptatem dolorem etincidunt."", ""Quaerat ipsum ipsum numquam est non dolore sed porro sed labore dolor quiquia labore numquam velit porro."", ""Quisquam voluptatem neque sit voluptatem sit aliquam numquam tempora quaerat voluptatem voluptatem."", ""Porro dolor eius quiquia modi quisquam labore dolor ut dolorem sed tempora numquam sit consectetur ipsum sit sed sed magnam etincidunt aliquam neque consectetur dolore ut.""]"
massive,"[""Ipsum"", ""dolore"", ""quiquia"", ""aliquam"", ""porro""]","[""Magnam adipisci ipsum consectetur non sed consectetur est quisquam ipsum magnam tempora.""]"
monstrous,"[""Porro"", ""neque"", ""quiquia"", ""velit"", ""velit""]","[""Adipisci eius sit quiquia voluptatem etincidunt porro voluptatem ipsum quaerat amet dolore sit est velit dolorem labore ut eius sit sit ut est quiquia aliquam dolore voluptatem dolor."", ""Aliquam dolorem dolore sit non modi quaerat labore tempora aliquam sed sit consectetur.""]"
odd,"[""Neque"", ""sed"", ""aliquam"", ""quiquia"", ""velit""]","[""Adipisci quiquia quaerat dolorem eius ut non neque dolorem velit sed amet quaerat aliquam ipsum quisquam numquam etincidunt numquam quisquam ipsum ipsum velit velit voluptatem modi."", ""Porro sit etincidunt est quiquia porro tempora amet sed aliquam quaerat quisquam porro sit ipsum eius non voluptatem dolor."", ""Ipsum dolorem magnam velit tempora magnam quaerat quiquia ut consectetur porro consectetur velit eius ut velit quiquia ut quaerat velit."", ""Tempora consectetur sed amet modi adipisci neque consectetur neque dolorem quisquam amet dolorem dolorem sit quisquam dolore eius ipsum est quiquia dolore dolor numquam dolor non sit dolor tempora."", ""Adipisci non magnam voluptatem sed quiquia neque velit porro aliquam porro non non numquam numquam voluptatem sit ipsum amet."", ""Aliquam aliquam porro quisquam sed magnam sit quiquia eius sit."", ""Consectetur ipsum etincidunt modi magnam tempora consectetur dolorem porro aliquam quisquam consectetur."", ""Velit ipsum etincidunt voluptatem quaerat dolor ut adipisci non ut quisquam magnam est labore ipsum numquam tempora magnam neque quisquam quisquam quisquam."", ""Numquam ut dolor aliquam dolor amet velit non modi neque consectetur voluptatem."", ""Quiquia dolor dolore consectetur dolore numquam dolor porro etincidunt eius sed ut etincidunt tempora magnam adipisci sed etincidunt tempora velit numquam non.""]"
peculiar,"[""Dolor"", ""sed"", ""adipisci"", ""adipisci"", ""neque""]","[""Aliquam est quisquam est quisquam eius quiquia aliquam porro amet."", ""Porro numquam est sed adipisci voluptatem velit consectetur aliquam modi ut non velit velit eius amet amet quisquam est quaerat."", ""Eius velit adipisci numquam voluptatem consectetur dolor magnam etincidunt ut adipisci labore porro etincidunt ipsum labore adipisci eius."", ""Porro voluptatem sed velit quaerat ipsum consectetur magnam quaerat quiquia modi tempora numquam labore aliquam adipisci est consectetur non ut modi sed est ipsum modi ipsum modi."", ""Velit ipsum non amet est modi porro voluptatem etincidunt dolor sit velit sed est quaerat numquam quiquia dolorem dolorem porro amet voluptatem etincidunt porro eius porro."", ""Consectetur consectetur dolor sit quaerat voluptatem est velit voluptatem sed est dolore etincidunt numquam tempora labore neque quiquia est dolore eius non."", ""Sed tempora ut sed magnam tempora sed dolore labore quaerat amet quaerat."", ""Neque porro quiquia etincidunt sit non dolor amet velit dolore labore magnam eius quisquam voluptatem amet."", ""Non quaerat quisquam eius amet sed magnam est dolore quaerat ut ut quaerat quiquia velit tempora quaerat dolorem modi neque dolor ut labore quaerat quaerat neque neque sed quiquia."", ""Sit dolorem labore voluptatem neque labore dolorem labore etincidunt velit dolor sed."", ""Est etincidunt non ipsum non ipsum sit magnam magnam non quaerat sit sit eius sit dolore eius tempora adipisci aliquam labore porro quaerat dolore est magnam etincidunt quaerat.""]"
rare,"[""Neque"", ""numquam"", ""dolorem"", ""ut"", ""est""]","[""Sit aliquam sit modi quaerat eius eius quisquam aliquam ut numquam ipsum quisquam adipisci dolor aliquam dolorem quaerat sit sit dolore magnam labore neque consectetur quaerat dolorem eius."", ""Quaerat est labore ut est quaerat tempora amet est ut quisquam eius neque sit sit dolorem eius quaerat ut etincidunt magnam numquam consectetur sit dolor non."", ""Consectetur labore dolorem non labore sed eius sed adipisci dolor consectetur adipisci neque amet sed ipsum sit."", ""Dolorem modi modi tempora est quaerat non dolorem etincidunt voluptatem aliquam dolor modi etincidunt velit aliquam labore magnam aliquam quisquam ipsum dolorem velit amet sed non."", ""Magnam neque dolor quaerat quaerat non ipsum aliquam eius voluptatem voluptatem numquam labore est tempora labore numquam porro dolorem aliquam voluptatem non sit eius magnam porro labore magnam."", ""Consectetur amet est labore eius quaerat neque sed amet voluptatem dolore aliquam dolorem etincidunt quiquia quaerat aliquam quaerat amet velit labore eius modi sit tempora ut."", ""Numquam porro non sit porro velit labore modi dolor tempora sed amet labore sed adipisci porro quiquia voluptatem amet."", ""Sed eius numquam voluptatem magnam voluptatem neque velit tempora velit ipsum dolore quisquam numquam eius porro dolorem porro sed."", ""Consectetur sed quiquia eius ut quiquia consectetur voluptatem porro porro velit."", ""Porro ut dolorem quisquam modi magnam sed dolor voluptatem tempora neque dolorem quaerat numquam labore tempora."", ""Quiquia magnam ipsum quisquam quaerat est dolor quaerat est est quisquam aliquam consectetur quaerat eius dolore consectetur sed labore tempora non labore dolore non aliquam quaerat dolor dolore est non.""]"
remarkable,"[""Velit"", ""dolore"", ""non"", ""velit"", ""dolore""]","[""Numquam eius adipisci dolor voluptatem neque sed dolore est consectetur modi ipsum consectetur quiquia dolore labore est ipsum."", ""Ipsum neque ut ut dolor neque eius amet ut amet est dolor dolore numquam quiquia sed modi dolorem dolorem aliquam adipisci eius ut quiquia.""]"
signal,"[""Quiquia"", ""tempora"", ""numquam"", ""magnam"", ""porro""]","[""Ut est quiquia consectetur modi dolorem neque voluptatem quisquam dolor non neque porro amet sit porro sed dolor."", ""Velit non consectetur velit amet magnam consectetur quaerat sed labore adipisci etincidunt."", ""Labore ipsum consectetur velit etincidunt ut adipisci modi dolor ut eius dolor etincidunt ut ipsum labore dolor sed velit aliquam ipsum consectetur.""]"
strange,"[""Tempora"", ""labore"", ""quisquam"", ""dolore"", ""numquam""]","[""Non quaerat porro dolorem magnam numquam voluptatem ipsum eius modi quaerat."", ""Quiquia porro magnam adipisci quisquam ipsum amet voluptatem non est."", ""Tempora ipsum quaerat eius ipsum tempora adipisci dolor modi voluptatem modi etincidunt consectetur aliquam non quisquam non quisquam labore non dolorem est voluptatem labore consectetur quisquam dolore consectetur numquam tempora."", ""Eius etincidunt dolore ipsum voluptatem magnam quiquia tempora dolore tempora est est eius aliquam dolorem labore."", ""Est dolorem ut ut velit numquam sit dolore neque aliquam ut sed consectetur tempora aliquam numquam consectetur velit ipsum ut ipsum."", ""Sed dolor labore quiquia dolor aliquam quiquia quaerat ipsum dolorem.""]"
surprising,"[""Sit"", ""labore"", ""aliquam"", ""sed"", ""quiquia""]","[""Est sed quaerat quiquia sit dolorem adipisci dolor magnam consectetur amet adipisci non tempora dolorem sed sed dolor amet."", ""Quaerat velit etincidunt neque quisquam voluptatem adipisci aliquam numquam velit ut voluptatem dolorem non sed quaerat etincidunt sed neque."", ""Adipisci labore quisquam consectetur ipsum labore ipsum magnam ut est ut modi est amet adipisci voluptatem sit sed aliquam voluptatem sit dolorem quaerat aliquam consectetur neque."", ""Ipsum numquam dolore numquam labore modi ipsum tempora adipisci sit ipsum tempora non neque est eius adipisci non ipsum non ut ipsum sit amet quaerat."", ""Modi labore consectetur modi sit dolore eius dolor non quisquam quisquam ipsum non tempora non dolorem adipisci non labore non modi quiquia voluptatem dolor velit velit amet neque."", ""Porro labore dolorem porro labore dolore porro eius voluptatem dolorem voluptatem eius quiquia dolore ipsum adipisci dolore numquam porro adipisci aliquam."", ""Ipsum neque quaerat neque neque porro quisquam dolore consectetur ipsum labore velit velit tempora numquam magnam quaerat adipisci quiquia tempora amet dolore dolore consectetur consectetur magnam labore."", ""Aliquam dolore etincidunt magnam magnam quaerat quisquam adipisci aliquam ut dolor quisquam non quaerat est quiquia sit dolorem amet amet tempora modi."", ""Quiquia quaerat numquam dolore tempora quaerat est amet quisquam magnam tempora tempora consectetur tempora adipisci labore non consectetur dolorem voluptatem."", ""Ipsum sit dolore numquam ut quiquia ut velit modi voluptatem aliquam consectetur quaerat etincidunt labore quiquia dolor etincidunt consectetur quisquam quisquam consectetur porro sit aliquam dolor sed est modi tempora."", ""Magnam etincidunt sit labore quisquam tempora dolore sit non quiquia sed eius voluptatem dolore sit quisquam voluptatem tempora dolor velit modi.""]"
tremendous,"[""Dolore"", ""aliquam"", ""ipsum"", ""modi"", ""dolorem""]","[""Etincidunt ipsum consectetur etincidunt eius sed modi consectetur sit consectetur neque non voluptatem amet dolorem quiquia quisquam amet etincidunt non non ut quisquam tempora adipisci modi ut."", ""Sit quisquam aliquam modi quisquam dolorem voluptatem dolorem modi dolorem non magnam ut voluptatem."", ""Velit dolor eius ipsum dolor adipisci neque velit velit quaerat est labore est modi modi dolor labore dolore adipisci ut amet."", ""Labore quaerat voluptatem non est dolore amet non velit consectetur ipsum labore dolor amet dolor ipsum etincidunt ipsum consectetur est ut ipsum sit aliquam quiquia dolor dolor quiquia."", ""Dolore amet non etincidunt neque quiquia velit dolore dolor eius amet."", ""Adipisci porro etincidunt sed consectetur dolorem tempora dolor magnam magnam quaerat non labore ipsum amet neque sit quaerat est ipsum neque non quisquam ut dolor magnam neque numquam tempora sed."", ""Voluptatem velit neque ipsum sed labore ut etincidunt dolorem dolorem dolor labore neque ipsum quiquia sed porro amet ipsum sit ipsum.""]"
unbelievable,"[""Tempora"", ""ut"", ""non"", ""velit"", ""est""]","[""Ipsum consectetur amet numquam sit etincidunt voluptatem voluptatem etincidunt est quaerat consectetur labore eius modi voluptatem eius amet sed amet sit magnam aliquam magnam ipsum labore."", ""Est non amet quisquam dolore quaerat dolor dolor sed etincidunt dolorem quisquam ut tempora quaerat modi quisquam sed dolor dolore tempora.""]"
unforgettable,"[""Consectetur"", ""amet"", ""dolor"", ""dolor"", ""quisquam""]","[""Magnam modi quisquam quaerat velit sed eius voluptatem consectetur est non consectetur neque amet voluptatem consectetur labore dolore."", ""Dolorem aliquam non porro numquam sit etincidunt dolore non labore quiquia numquam sit dolorem consectetur ut ipsum voluptatem est aliquam quisquam modi quiquia magnam sit consectetur dolore."", ""Est etincidunt dolor amet ut magnam modi magnam porro dolorem porro eius quisquam neque quaerat magnam eius ut."", ""Non quaerat eius sed dolor est quiquia ipsum magnam consectetur ipsum adipisci ut est modi dolorem."", ""Magnam modi amet neque quisquam quaerat etincidunt modi voluptatem dolore aliquam ipsum est velit est modi."", ""Dolore sit modi adipisci aliquam eius est labore ipsum sed dolorem numquam amet quisquam sed modi modi sit eius magnam quaerat ipsum dolorem quaerat."", ""Numquam non quisquam quisquam etincidunt est consectetur ipsum magnam labore eius modi.""]"
unusual,"[""Quaerat"", ""tempora"", ""porro"", ""consectetur"", ""sed""]","[""Modi labore consectetur eius ipsum aliquam modi dolor etincidunt ipsum est sit est."", ""Tempora dolor aliquam voluptatem ut porro numquam ipsum modi quaerat non magnam sed dolorem dolor quaerat modi sit velit consectetur etincidunt etincidunt."", ""Tempora non porro porro voluptatem etincidunt ut velit consectetur magnam neque eius."", ""Est quiquia numquam neque tempora tempora adipisci quisquam labore eius aliquam aliquam neque consectetur non numquam."", ""Quiquia quiquia ipsum consectetur neque etincidunt quisquam dolorem consectetur quaerat."", ""Voluptatem ipsum dolore neque dolor adipisci ipsum etincidunt labore non dolore est quaerat sit velit dolore labore ipsum quaerat ut sed numquam."", ""Quaerat ut ut adipisci dolore amet etincidunt quaerat eius neque dolore tempora magnam numquam est quaerat quiquia adipisci numquam sit tempora eius sit dolorem."", ""Sit porro ut neque amet adipisci labore voluptatem dolore eius sed adipisci modi neque modi labore aliquam dolore numquam magnam etincidunt quisquam magnam ipsum quaerat."", ""Aliquam neque quaerat modi adipisci quaerat amet dolor ut dolorem modi numquam ipsum voluptatem velit dolore etincidunt neque amet quisquam."", ""Neque aliquam ut dolorem dolore consectetur dolorem porro etincidunt labore quiquia etincidunt velit ut dolorem modi ut sit dolor dolor quisquam voluptatem voluptatem numquam consectetur voluptatem.""]"
vast,"[""Tempora"", ""voluptatem"", ""amet"", ""aliquam"", ""dolor""]","[""Adipisci est quisquam dolorem etincidunt voluptatem quiquia quaerat modi sed amet dolore labore sed quaerat sed est labore magnam voluptatem tempora non modi eius modi labore eius quiquia labore."", ""Quaerat voluptatem velit sit sit tempora dolor quaerat quaerat etincidunt."", ""Porro etincidunt porro amet tempora dolore quisquam labore quaerat dolor eius sed dolor est."", ""Dolorem est tempora eius ipsum dolor tempora modi eius porro tempora quaerat labore porro quiquia labore magnam numquam tempora amet dolore labore."", ""Dolore amet consectetur ut sit adipisci eius consectetur amet modi."", ""Quaerat quaerat labore non dolore non quaerat dolore quisquam amet adipisci dolorem labore eius dolor voluptatem numquam sed numquam aliquam labore dolorem ipsum sit magnam dolor quaerat."", ""Est quisquam numquam quisquam tempora sed tempora non amet consectetur neque ipsum consectetur dolore etincidunt velit dolorem labore velit quisquam numquam etincidunt modi."", ""Magnam sit magnam numquam numquam quiquia velit adipisci neque consectetur aliquam numquam non consectetur velit dolor ipsum quiquia magnam sit quaerat tempora est porro voluptatem quaerat.""]"
