word,cos_dist,count,root_word,instances,status
dizzy,0.59848,0.818181818181818,delirious,1,Y
fairy,0.59768,0.181818181818182,enchanted,1,N
smile,0.59746,0.909090909090909,happy,23,Y
blessed,0.59554,0.863636363636364,joyful,1,Y
guess,0.59479,0.136363636363636,happy,9,N
delight,0.59466,0.954545454545455,delighted,2,Y
say,0.59446,0.318181818181818,happy,291,N
reverent,0.59445,0.818181818181818,joyful,1,N
solemn,0.59436,0.818181818181818,joyous,7,N
despairing,0.59401,0.863636363636364,exultant,1,N
happiness,0.59379,0.863636363636364,joyful,2,Y
riotous,0.59378,0.818181818181818,joyous,2,N
way,0.59307,0.409090909090909,happy,76,N
little,0.59111,0.454545454545455,happy,103,N
time,0.58954,0.363636363636364,happy,99,N
unhappy,0.58943,0.818181818181818,happy,2,N
pretty,0.58835,0.272727272727273,happy,14,N
tell,0.58813,0.272727272727273,happy,84,N
moment,0.58659,0.909090909090909,happy,73,N
mind,0.58632,0.681818181818182,happy,11,N
frightened,0.58604,0.954545454545455,overjoyed,3,N
crazy,0.58571,0.590909090909091,happy,14,N
honest,0.58563,0.5,happy,2,N
day,0.58548,0.363636363636364,happy,64,N
wonder,0.5834,0.681818181818182,happy,19,Y
give,0.58283,0.227272727272727,happy,59,N
got,0.58252,0.363636363636364,happy,3,N
maybe,0.58172,0.0909090909090909,happy,5,N
reverie,0.58139,0.772727272727273,blissful,1,Y
overwhelmed,0.58105,0.909090909090909,elated,1,N
lovely,0.58035,0.545454545454545,happy,10,Y
kind,0.58031,0.545454545454545,happy,12,N
ready,0.58013,0.454545454545455,happy,3,N
announce,0.57995,0.318181818181818,thrilled,4,N
expect,0.57929,0.409090909090909,happy,8,N
exult,0.57836,0.727272727272727,exultant,1,Y
puzzled,0.57831,0.909090909090909,overjoyed,1,N
yes,0.57785,0.318181818181818,happy,24,N
soon,0.57742,0.363636363636364,happy,7,N
come,0.57627,0.272727272727273,happy,207,N
totally,0.5761,0.727272727272727,happy,1,N
worry,0.57571,0.272727272727273,happy,4,N
afraid,0.57568,0.5,happy,9,N
transport,0.5754,0.0454545454545454,transported,1,N
willing,0.57509,0.363636363636364,happy,2,N
melancholy,0.57443,0.772727272727273,joyous,2,N
believe,0.57413,0.363636363636364,happy,24,N
ambitious,0.57364,0.363636363636364,enthusiastic,2,N
well,0.57331,0.227272727272727,happy,88,N
go,0.57224,0.136363636363636,happy,261,N
fantastic,0.5722,0.590909090909091,delighted,7,Y
gratitude,0.57141,0.863636363636364,joyful,2,N
tired,0.57092,0.590909090909091,happy,4,N
incredulous,0.57049,0.909090909090909,overjoyed,3,N
gaiety,0.57031,0.772727272727273,joyous,5,Y
thinking,0.56976,0.409090909090909,happy,1,N
make,0.56947,0.227272727272727,happy,102,N
florid,0.56923,0.681818181818182,rhapsodic,2,N
honestly,0.5689,0.409090909090909,happy,1,N
relieved,0.56841,0.863636363636364,elated,2,N
ravage,0.5684,0.272727272727273,ravished,1,N
astonishment,0.56762,0.909090909090909,enraptured,2,Y
thing,0.56746,0.181818181818182,happy,66,N
eagerly,0.56501,0.863636363636364,thrilled,9,Y
unforgettable,0.56356,0.909090909090909,joyous,1,N
stay,0.56334,0.227272727272727,happy,16,N
cute,0.56237,0.272727272727273,happy,2,N
fascinated,0.56224,1.0,enraptured,2,Y
realize,0.56163,0.5,happy,14,N
exciting,0.56079,0.681818181818182,thrilled,3,Y
chance,0.5607,0.363636363636364,happy,5,N
melodious,0.5604,0.818181818181818,joyous,1,Y
sweet,0.56026,0.636363636363636,happy,2,N
dream,0.56006,0.727272727272727,happy,16,N
theirs,0.56004,0.590909090909091,happy,1,N
excitedly,0.55952,0.909090909090909,overjoyed,5,Y
forever,0.55952,0.636363636363636,happy,12,N
hear,0.55813,0.727272727272727,happy,67,N
leave,0.55784,0.227272727272727,happy,70,N
able,0.55768,0.409090909090909,happy,6,N
worried,0.55731,0.454545454545455,happy,3,N
anxiously,0.55662,0.954545454545455,overjoyed,4,N
have,0.55635,0.272727272727273,happy,580,N
excitement,0.55625,0.863636363636364,ecstatic,7,Y
spirit,0.55592,0.772727272727273,joyful,1,N
contemplation,0.55574,0.727272727272727,blissful,1,N
incoherent,0.55411,0.590909090909091,delirious,3,N
absolutely,0.55382,0.636363636363636,thrilled,8,N
dismay,0.55264,0.954545454545455,overjoyed,1,N
ask,0.55249,0.227272727272727,happy,59,N
doing,0.55152,0.181818181818182,happy,1,N
boisterously,0.55006,0.727272727272727,exultant,1,N
admit,0.54955,0.409090909090909,thrilled,4,N
soothing,0.54886,0.636363636363636,blissful,1,N
startled,0.54728,0.954545454545455,overjoyed,3,N
polite,0.54699,0.590909090909091,enthusiastic,6,S
pleasantly,0.54697,1.0,thrilled,2,N
finally,0.54611,0.363636363636364,thrilled,13,N
adventurous,0.54607,0.863636363636364,enthusiastic,1,Y
cheer,0.54598,0.727272727272727,happy,1,Y
enchant,0.5457,0.181818181818182,enchanted,1,N
ashamed,0.54536,0.681818181818182,overjoyed,1,N
idea,0.54509,0.181818181818182,happy,21,N
earnest,0.54455,0.863636363636364,enthusiastic,1,N
perfect,0.54397,0.454545454545455,happy,4,N
crowd,0.54329,0.772727272727273,enthusiastic,16,N
admiration,0.5429,0.954545454545455,rapturous,2,N
scared,0.54284,0.681818181818182,happy,2,N
look,0.542,0.136363636363636,happy,179,N
quieter,0.5419,0.272727272727273,happy,1,N
curious,0.54162,0.772727272727273,happy,12,N
mad,0.54111,0.636363636363636,happy,4,N
friendly,0.54033,0.363636363636364,happy,1,N
life,0.54024,0.409090909090909,happy,31,N
doubt,0.54018,0.454545454545455,happy,6,N
actually,0.54013,0.318181818181818,happy,3,N
hey,0.5401,0.0909090909090909,happy,1,N
kindly,0.53956,0.318181818181818,delighted,2,N
bring,0.53933,0.409090909090909,happy,24,N
certainly,0.53932,0.454545454545455,thrilled,8,N
sick,0.53901,0.5,happy,11,N
deserve,0.538,0.409090909090909,happy,2,N
amazing,0.538,0.590909090909091,thrilled,2,Y
sensuous,0.53767,0.772727272727273,blissful,2,Y
oh,0.53752,0.318181818181818,happy,43,N
hello,0.53681,0.136363636363636,happy,8,N
couple,0.53636,0.227272727272727,happy,4,N
suppose,0.53566,0.363636363636364,happy,21,N
bless,0.53548,0.454545454545455,happy,1,N
goodbye,0.53539,0.590909090909091,happy,9,N
respectful,0.5345,0.727272727272727,enthusiastic,1,N
pleasant,0.53434,0.772727272727273,joyful,6,N
crescendo,0.53302,0.681818181818182,rapturous,1,Y
especially,0.53277,0.363636363636364,happy,2,N
pleasure,0.53235,0.818181818181818,orgasmic,1,N
annoyed,0.53224,0.772727272727273,elated,1,N
agree,0.53217,0.227272727272727,happy,9,N
baffled,0.53197,0.681818181818182,overjoyed,1,N
tremendously,0.53146,0.727272727272727,happy,1,N
need,0.53133,0.181818181818182,happy,8,N
obviously,0.53067,0.363636363636364,happy,6,N
unashamed,0.53043,0.772727272727273,exultant,1,N
recently,0.53017,0.227272727272727,thrilled,1,N
ejaculate,0.52894,0.363636363636364,orgasmic,1,N
happen,0.52854,0.181818181818182,happy,30,N
indignant,0.52811,0.909090909090909,exultant,1,X
like,0.52807,0.136363636363636,happy,128,N
calmness,0.52801,0.772727272727273,blissful,1,N
silly,0.528,0.636363636363636,happy,2,N
people,0.52748,0.272727272727273,happy,63,N
promise,0.5266,0.636363636363636,happy,13,N
rest,0.52585,0.318181818181818,happy,19,N
hesitant,0.52583,0.772727272727273,thrilled,1,N
yeah,0.52532,0.0909090909090909,happy,3,N
languid,0.52518,0.727272727272727,blissful,1,V
spend,0.52489,0.272727272727273,happy,7,N
scornful,0.52488,0.636363636363636,exultant,2,N
right,0.52475,0.0909090909090909,happy,50,N
remind,0.52467,0.545454545454545,happy,5,N
bad,0.52464,0.0454545454545454,happy,14,N
reason,0.52459,0.318181818181818,happy,8,N
interested,0.52421,0.227272727272727,happy,8,N
funny,0.52399,0.272727272727273,happy,11,N
family,0.52391,0.272727272727273,happy,15,N
try,0.5232,0.136363636363636,happy,49,N
today,0.5232,0.318181818181818,happy,7,N
impatient,0.52268,0.909090909090909,enthusiastic,1,N
one,0.52172,0.227272727272727,happy,156,N
tomorrow,0.52098,0.136363636363636,happy,15,N
understand,0.52002,0.272727272727273,happy,20,N
mellow,0.52002,0.772727272727273,blissful,1,N
repose,0.51977,0.727272727272727,blissful,1,N
sadness,0.51963,0.863636363636364,joyous,2,N
uncontrollable,0.51943,0.636363636363636,orgasmic,1,N
lot,0.51885,0.181818181818182,happy,12,N
having,0.51814,0.363636363636364,happy,4,N
tumultuous,0.51808,0.818181818181818,joyous,2,Y
occasion,0.51778,0.681818181818182,joyous,1,N
regret,0.51745,0.681818181818182,happy,1,N
hopeless,0.51735,0.909090909090909,delirious,1,N
daze,0.51726,0.772727272727273,delirious,1,N
see,0.51689,0.136363636363636,happy,169,N
highly,0.51646,0.363636363636364,enthusiastic,1,N
lightheaded,0.51545,0.545454545454545,delirious,1,N
fellow,0.5151,0.363636363636364,enthusiastic,7,S
transcendent,0.51492,0.772727272727273,blissful,1,Y
bewilderment,0.51426,0.772727272727273,enraptured,1,N
frankly,0.51406,0.727272727272727,thrilled,1,N
adorable,0.5138,0.545454545454545,happy,1,S
weekend,0.51361,0.363636363636364,happy,2,N
conscientious,0.51359,0.363636363636364,enthusiastic,2,N
pleasing,0.51273,0.954545454545455,joyful,1,N
forward,0.5127,0.454545454545455,happy,13,N
damn,0.51255,0.136363636363636,happy,3,N
savagely,0.51254,0.363636363636364,ravished,2,N
opportunity,0.51217,0.409090909090909,delighted,3,N
far,0.51216,0.227272727272727,happy,25,N
sentimental,0.51211,0.863636363636364,joyous,4,N
invite,0.51132,0.409090909090909,happy,12,N
long,0.5104,0.181818181818182,happy,79,N
surprising,0.51033,0.727272727272727,thrilled,3,N
intently,0.51031,0.772727272727273,enraptured,3,N
profound,0.5101,0.909090909090909,joyful,4,N
uneasy,0.5101,0.954545454545455,elated,4,N
probably,0.50999,0.227272727272727,happy,6,N
sorrow,0.50961,0.772727272727273,joyful,1,N
shy,0.50947,0.590909090909091,happy,1,N
baby,0.509,0.181818181818182,happy,3,N
put,0.50875,0.227272727272727,happy,22,N
start,0.50852,0.181818181818182,happy,39,N
talk,0.50849,0.181818181818182,happy,40,N
back,0.50824,0.181818181818182,happy,111,N
throbbing,0.50769,0.590909090909091,orgasmic,1,N
mean,0.50768,0.0909090909090909,happy,27,N
take,0.50767,0.227272727272727,happy,100,N
expressive,0.50757,0.727272727272727,joyful,1,N
anticipation,0.50756,0.909090909090909,ecstatic,1,N
eternal,0.50715,0.636363636363636,blissful,4,N
figured,0.5071,0.272727272727273,thrilled,1,N
successful,0.50663,0.181818181818182,enthusiastic,1,N
wrong,0.50655,0.0909090909090909,happy,7,N
adore,0.50636,0.681818181818182,thrilled,1,N
helplessly,0.50625,0.727272727272727,enraptured,4,N
cool,0.50606,0.181818181818182,happy,16,N
castle,0.50589,0.0909090909090909,enchanted,1,N
lately,0.50555,0.363636363636364,happy,1,N
drunken,0.50554,0.772727272727273,delirious,1,N
marvellous,0.5051,0.954545454545455,joyous,1,Y
exactly,0.50477,0.318181818181818,happy,3,N
furious,0.50474,0.863636363636364,ecstatic,1,N
admire,0.50425,0.681818181818182,thrilled,5,N
defiant,0.50406,0.636363636363636,jubilant,2,N
find,0.50374,0.227272727272727,happy,58,N
triumphantly,0.50316,0.909090909090909,exultant,2,N
alive,0.5025,0.772727272727273,happy,5,N
jealous,0.50244,0.681818181818182,happy,1,N
prosperous,0.50188,0.590909090909091,happy,1,N
moan,0.50124,0.727272727272727,orgasmic,1,N
bit,0.50109,0.409090909090909,happy,4,N
exclaim,0.50077,0.863636363636364,overjoyed,9,N
discontented,0.50072,0.772727272727273,exultant,1,N
will,0.50066,0.227272727272727,happy,37,N
husband,0.49983,0.454545454545455,happy,15,N
beautiful,0.49979,0.545454545454545,happy,7,N
sense,0.49849,0.590909090909091,happy,3,N
place,0.49797,0.409090909090909,happy,24,N
breathlessly,0.49764,0.909090909090909,enraptured,3,Y
decide,0.49687,0.181818181818182,happy,5,N
stuff,0.49687,0.0909090909090909,happy,4,N
meet,0.49654,0.227272727272727,happy,28,N
humorous,0.49652,0.681818181818182,joyful,1,N
miserable,0.49638,0.818181818181818,happy,2,N
tremendous,0.49627,0.772727272727273,enthusiastic,2,N
oblivious,0.49625,0.954545454545455,enraptured,1,N
ravenously,0.49625,0.5,ravished,1,N
lady,0.49622,0.454545454545455,happy,12,N
sombre,0.49586,0.727272727272727,joyous,1,N
bored,0.49566,0.590909090909091,happy,3,N
grace,0.49563,0.5,joyful,1,N
attention,0.49561,0.545454545454545,enthusiastic,6,N
ambulance,0.49545,0.0909090909090909,transported,1,N
gaze,0.49537,0.954545454545455,enraptured,2,N
wistfulness,0.49523,0.681818181818182,rhapsodic,1,N
less,0.49454,0.227272727272727,happy,13,N
big,0.49352,0.181818181818182,happy,20,N
emptiness,0.49329,0.636363636363636,blissful,1,N
aware,0.49322,0.409090909090909,happy,10,N
thrilling,0.493,0.818181818181818,joyous,3,Y
kid,0.49297,0.227272727272727,happy,1,N
motionless,0.49292,0.818181818181818,enraptured,2,N
end,0.49249,0.136363636363636,happy,27,N
wholesome,0.49235,0.636363636363636,joyful,1,N
ahead,0.49224,0.318181818181818,happy,5,N
passion,0.49219,0.818181818181818,enthusiastic,1,Y
physically,0.49191,0.545454545454545,happy,3,N
lethargic,0.49149,0.818181818181818,delirious,1,N
somebody,0.49144,0.227272727272727,happy,17,N
reluctant,0.49138,0.545454545454545,enthusiastic,5,N
hard,0.4907,0.181818181818182,happy,20,N
hungry,0.49068,0.681818181818182,happy,1,N
garrulous,0.49041,0.727272727272727,rhapsodic,1,N
extraordinarily,0.49025,0.954545454545455,enthusiastic,1,N
clamour,0.48932,0.681818181818182,exultant,1,X
confused,0.48924,0.590909090909091,happy,6,N
forlorn,0.48916,0.772727272727273,enraptured,1,N
restless,0.48905,0.818181818181818,delirious,5,N
lonely,0.48815,0.727272727272727,happy,2,N
faithful,0.48807,0.727272727272727,joyful,1,N
quiet,0.48749,0.636363636363636,happy,6,N
mysterious,0.48718,0.454545454545455,enchanted,2,N
brave,0.48699,0.636363636363636,happy,2,N
dignified,0.48651,0.772727272727273,joyful,4,N
hurry,0.48646,0.5,happy,15,N
enormously,0.48641,0.954545454545455,happy,1,N
soul,0.48635,0.727272727272727,joyful,2,N
cry,0.48606,0.818181818181818,happy,39,N
earnestness,0.48602,0.772727272727273,exultant,1,N
convivial,0.48593,0.818181818181818,joyous,1,N
undoubtedly,0.48549,0.727272727272727,thrilled,1,N
anybody,0.4853,0.227272727272727,happy,7,N
hell,0.48514,0.227272727272727,happy,3,N
hang,0.48472,0.0909090909090909,happy,5,N
consider,0.48431,0.181818181818182,happy,3,N
wistfully,0.48384,0.727272727272727,enraptured,1,N
afterward,0.48343,0.909090909090909,happy,6,N
infinitely,0.48308,0.909090909090909,happy,3,N
break,0.48306,0.227272727272727,happy,36,N
abounding,0.48274,0.454545454545455,beatific,1,N
farewell,0.48273,0.727272727272727,joyous,1,N
trouble,0.48271,0.227272727272727,happy,9,N
eagerness,0.48269,0.909090909090909,enthusiastic,2,N
girl,0.4822,0.318181818181818,happy,68,N
angry,0.4822,0.818181818181818,happy,4,N
gift,0.48168,0.363636363636364,happy,1,N
TRUE,0.48161,0.363636363636364,happy,9,N
divine,0.48156,0.590909090909091,blissful,1,N
hungrily,0.48143,0.454545454545455,ravished,1,N
romantic,0.4809,0.681818181818182,blissful,10,N
mention,0.48037,0.272727272727273,happy,7,N
boy,0.48033,0.318181818181818,happy,17,N
agreeable,0.47993,0.954545454545455,beatific,1,N
ineffable,0.47982,0.772727272727273,enraptured,1,N
gasp,0.47963,0.863636363636364,ecstatic,3,N
mate,0.47962,0.181818181818182,happy,1,N
sit,0.47954,0.409090909090909,happy,62,N
work,0.47936,0.181818181818182,happy,18,N
share,0.47931,0.227272727272727,happy,4,N
embrace,0.47903,0.909090909090909,joyful,1,N
hate,0.47901,0.0909090909090909,happy,6,N
majestic,0.47898,0.681818181818182,enchanted,1,N
friendship,0.47898,0.5,happy,1,N
hardly,0.47891,0.818181818181818,happy,9,N
blankly,0.47884,0.590909090909091,enraptured,4,N
weird,0.47872,0.454545454545455,happy,1,N
dazzling,0.47861,0.863636363636364,enchanted,1,Y
generous,0.47858,0.5,enthusiastic,1,N
surprisingly,0.47825,0.681818181818182,thrilled,3,N
reassuring,0.47802,0.863636363636364,joyful,1,N
simply,0.4776,0.363636363636364,happy,4,N
moonlight,0.47734,0.5,enchanted,6,N
ill,0.47706,0.272727272727273,happy,1,N
positive,0.47702,0.5,happy,1,N
future,0.47701,0.181818181818182,happy,5,N
magnanimous,0.47617,0.772727272727273,exultant,1,N
partake,0.47611,0.954545454545455,joyous,1,N
sympathize,0.47605,0.818181818181818,overjoyed,2,X
tonight,0.47596,0.136363636363636,happy,4,N
portentous,0.47569,0.681818181818182,rhapsodic,2,N
expectantly,0.47569,0.818181818181818,enraptured,2,N
confess,0.47564,0.772727272727273,overjoyed,2,N
visibly,0.4756,0.863636363636364,elated,2,N
meantime,0.47559,0.318181818181818,happy,1,N
vibrant,0.4755,0.5,joyful,1,N
matter,0.47491,0.227272727272727,happy,27,N
morbid,0.47463,0.681818181818182,delirious,2,N
astonish,0.47439,0.772727272727273,enraptured,1,S
night,0.47428,0.454545454545455,happy,77,N
sensation,0.47404,0.681818181818182,orgasmic,2,N
person,0.47389,0.181818181818182,happy,13,N
holiday,0.47384,0.318181818181818,happy,2,N
tumult,0.47382,0.727272727272727,exultant,1,N
caterwaul,0.47377,0.454545454545455,exultant,1,N
sunshine,0.47377,0.5,blissful,4,N
lazy,0.47369,0.227272727272727,happy,1,N
dejection,0.47359,0.727272727272727,exultant,1,N
inspire,0.47355,0.681818181818182,enthusiastic,1,N
thrusting,0.47347,0.454545454545455,orgasmic,1,N
luckily,0.47297,0.5,thrilled,2,N
join,0.47297,0.181818181818182,happy,6,N
celebrated,0.47296,0.5,joyous,3,N
muttering,0.47275,0.636363636363636,delirious,1,N
eat,0.47262,0.0909090909090909,happy,12,N
wail,0.47251,0.727272727272727,exultant,4,N
affection,0.47246,0.954545454545455,joyful,2,N
pick,0.47236,0.0909090909090909,happy,12,N
own,0.4722,0.181818181818182,happy,34,N
haunting,0.4717,0.681818181818182,joyous,1,N
splendid,0.47164,0.909090909090909,joyous,2,N
strident,0.47163,0.636363636363636,exultant,1,V
glimpse,0.47093,0.954545454545455,thrilled,4,N
kiss,0.47061,0.590909090909091,happy,11,N
plenty,0.47033,0.363636363636364,happy,1,N
emotion,0.47,0.772727272727273,joyful,8,N
help,0.46959,0.181818181818182,happy,13,N
devotion,0.46922,0.772727272727273,joyful,1,N
morning,0.46913,0.409090909090909,happy,31,N
fair,0.46894,0.272727272727273,happy,1,N
pretend,0.46883,0.5,happy,3,N
attract,0.46883,0.136363636363636,enthusiastic,2,N
weary,0.46876,0.954545454545455,elated,1,N
incredulity,0.4678,0.636363636363636,rapturous,1,N
young,0.46756,0.454545454545455,enthusiastic,48,N
lull,0.46756,0.681818181818182,blissful,1,N
christmas,0.46748,0.181818181818182,happy,4,N
somewhat,0.46746,0.681818181818182,happy,1,N
deal,0.46734,0.136363636363636,happy,6,N
away,0.46702,0.272727272727273,happy,75,N
bother,0.46694,0.227272727272727,happy,6,N
easygoing,0.46684,0.681818181818182,joyful,1,N
leisurely,0.46684,0.590909090909091,blissful,1,N
difficult,0.46666,0.318181818181818,happy,1,N
wander,0.46627,0.681818181818182,enchanted,6,N
unusually,0.46589,0.909090909090909,enthusiastic,2,N
swoon,0.46586,0.863636363636364,ecstatic,2,N
brilliant,0.4656,0.772727272727273,delighted,1,N
doubtless,0.46548,0.954545454545455,overjoyed,1,N
listen,0.46548,0.5,happy,15,N
tale,0.46528,0.545454545454545,enchanted,1,N
sort,0.46511,0.454545454545455,happy,24,N
rowdy,0.46507,0.681818181818182,jubilant,1,N
strong,0.46468,0.272727272727273,enthusiastic,2,N
reluctantly,0.46421,0.545454545454545,overjoyed,1,N
choice,0.46421,0.181818181818182,happy,1,N
radiantly,0.46401,0.772727272727273,enraptured,1,Y
endless,0.46399,0.636363636363636,blissful,1,N
jauntiness,0.46372,0.409090909090909,exultant,1,Y
desire,0.46362,0.909090909090909,happy,5,N
rapture,0.46357,0.772727272727273,rapturous,1,Y
last,0.46344,0.136363636363636,happy,47,N
possibly,0.46336,0.227272727272727,happy,3,N
madman,0.46324,0.545454545454545,delirious,2,N
nervous,0.46319,0.681818181818182,elated,6,N
verge,0.4631,0.681818181818182,ecstatic,3,N
mourning,0.46301,0.681818181818182,joyous,1,N
luxuriate,0.46288,0.727272727272727,blissful,1,N
sweetie,0.46247,0.363636363636364,happy,1,N
sister,0.46239,0.272727272727273,happy,14,N
altogether,0.46239,0.636363636363636,happy,1,N
positively,0.46171,0.909090909090909,happy,1,N
arrive,0.46143,0.272727272727273,transported,18,N
glory,0.46135,0.818181818181818,joyful,1,N
charming,0.46129,0.681818181818182,enchanted,4,Y
sumptuous,0.46121,0.727272727272727,blissful,1,N
apparently,0.46115,0.363636363636364,thrilled,6,N
disquieting,0.46096,0.772727272727273,rapturous,1,N
mother,0.46091,0.5,happy,10,N
awake,0.46085,0.863636363636364,blissful,2,N
daddy,0.4606,0.227272727272727,happy,3,N
inexplicable,0.46053,0.772727272727273,delirious,2,N
fact,0.46045,0.318181818181818,happy,20,N
sweetly,0.46016,0.909090909090909,blissful,1,N
helpless,0.46007,0.772727272727273,ravished,2,N
shame,0.45997,0.454545454545455,happy,2,N
evidently,0.45983,0.863636363636364,overjoyed,8,N
intimacy,0.45975,0.636363636363636,blissful,1,N
faith,0.45953,0.363636363636364,joyful,2,N
profoundly,0.45946,1.0,joyous,2,N
perfectly,0.45933,0.5,happy,3,N
creature,0.45895,0.272727272727273,enchanted,1,N
sing,0.45885,0.727272727272727,happy,7,N
fella,0.45828,0.409090909090909,happy,4,N
home,0.45764,0.181818181818182,happy,28,N
sheepishly,0.45751,0.590909090909091,overjoyed,1,N
carrying,0.45728,0.0454545454545454,transported,1,B
continue,0.45715,0.227272727272727,happy,13,N
journey,0.45711,0.727272727272727,joyful,1,N
thrill,0.457,0.818181818181818,ecstatic,3,Y
past,0.45696,0.318181818181818,happy,17,N
intimate,0.45679,0.590909090909091,blissful,5,N
easy,0.45671,0.0909090909090909,happy,4,N
attain,0.45646,0.545454545454545,beatific,2,N
trust,0.45629,0.227272727272727,happy,7,N
keenly,0.45617,0.909090909090909,enraptured,3,N
desperate,0.45572,0.818181818181818,delirious,1,N
glowing,0.4557,0.863636363636364,enchanted,1,Y
treat,0.45561,0.318181818181818,happy,1,N
brother,0.45526,0.227272727272727,happy,4,N
warm,0.45496,0.545454545454545,happy,12,N
scream,0.4547,0.681818181818182,orgasmic,1,N
momentarily,0.45464,0.909090909090909,elated,3,N
melody,0.45457,0.590909090909091,joyful,2,N
swear,0.45432,0.5,happy,4,N
