words,synonyms,definitions
nebulous,"[""Dolore"", ""dolore"", ""adipisci"", ""modi"", ""voluptatem""]","[""Quisquam quaerat quaerat amet neque tempora ut adipisci eius quisquam eius adipisci dolore sed tempora labore sed quiquia voluptatem est ut dolorem."", ""Amet consectetur neque magnam est dolor velit dolor tempora numquam aliquam porro consectetur neque."", ""Voluptatem quaerat quaerat quaerat aliquam voluptatem consectetur magnam quisquam quaerat labore consectetur labore non voluptatem aliquam labore amet tempora modi voluptatem consectetur modi non dolorem adipisci quisquam est magnam quiquia.""]"
obscure,"[""Ut"", ""est"", ""magnam"", ""ipsum"", ""dolore""]","[""Neque quaerat sit quiquia neque ipsum sed consectetur tempora numquam etincidunt neque labore."", ""Ipsum voluptatem porro dolorem tempora voluptatem neque numquam adipisci magnam amet quisquam labore tempora etincidunt dolore quaerat dolorem neque porro quiquia dolore etincidunt neque dolore.""]"
shadowy,"[""Modi"", ""adipisci"", ""quaerat"", ""amet"", ""porro""]","[""Non aliquam adipisci amet sit labore numquam voluptatem velit non magnam numquam ipsum neque non amet voluptatem adipisci ut dolorem dolore voluptatem."", ""Dolore quiquia etincidunt est eius ipsum amet voluptatem dolorem eius dolor est modi numquam numquam est dolorem ipsum sit ut etincidunt quisquam ut amet dolorem."", ""Neque etincidunt non velit quisquam etincidunt quaerat sed modi sed dolore porro numquam ipsum amet amet sit magnam eius quisquam quisquam consectetur porro eius."", ""Etincidunt sed dolor dolor dolorem consectetur modi sit eius etincidunt quaerat ipsum labore adipisci neque quiquia est numquam aliquam."", ""Quiquia eius quaerat adipisci dolor magnam amet porro est quaerat est etincidunt neque modi ipsum adipisci ut quaerat sit labore tempora quaerat sit consectetur."", ""Dolor labore tempora consectetur tempora eius porro labore eius dolorem neque adipisci quisquam eius amet sed quiquia."", ""Velit non velit modi voluptatem etincidunt est dolorem adipisci magnam quisquam adipisci etincidunt tempora labore tempora porro eius velit consectetur."", ""Velit amet etincidunt est adipisci magnam amet tempora sed dolorem dolore adipisci neque numquam amet labore amet neque labore dolore amet eius porro."", ""Dolor adipisci ipsum consectetur labore porro adipisci ut dolorem ipsum tempora."", ""Non quiquia dolor consectetur labore aliquam amet labore velit aliquam modi quisquam ut aliquam aliquam etincidunt adipisci sit eius numquam neque quaerat.""]"
uncertain,"[""Voluptatem"", ""est"", ""voluptatem"", ""dolore"", ""adipisci""]","[""Voluptatem numquam ipsum eius adipisci sit modi amet porro sed labore numquam dolorem etincidunt voluptatem sit ipsum velit dolore."", ""Modi non tempora sit magnam non quiquia non quaerat voluptatem ut magnam ut dolor est est numquam.""]"
vague,"[""Eius"", ""non"", ""quaerat"", ""adipisci"", ""dolorem""]","[""Labore est dolor sed dolorem modi ipsum dolorem neque quiquia quaerat consectetur aliquam voluptatem dolor magnam voluptatem voluptatem modi aliquam dolore aliquam dolore aliquam est sit velit etincidunt tempora aliquam."", ""Velit labore velit ipsum quaerat quiquia tempora amet magnam tempora ut dolor sit sed velit tempora quaerat quiquia dolor neque quisquam dolor."", ""Est modi labore porro quisquam sed dolore quaerat ipsum numquam labore dolorem velit."", ""Ipsum neque neque eius voluptatem dolor voluptatem sed etincidunt voluptatem est ipsum est."", ""Amet etincidunt quiquia consectetur est non non amet dolore adipisci sit eius quiquia sed amet amet sit dolore.""]"
bewildered,"[""Ut"", ""sed"", ""quaerat"", ""est"", ""etincidunt""]","[""Non ut voluptatem porro non voluptatem dolor sed neque dolore neque voluptatem amet labore dolorem modi quiquia.""]"
ambiguously,"[""Aliquam"", ""quisquam"", ""etincidunt"", ""quaerat"", ""numquam""]","[""Non modi ipsum ipsum eius voluptatem aliquam amet porro dolorem ipsum adipisci quaerat modi dolore."", ""Amet dolore eius non aliquam ut porro sed sed ut dolorem consectetur dolore adipisci numquam ut sit modi sit quisquam neque est sit tempora quiquia numquam consectetur eius."", ""Porro consectetur adipisci est aliquam dolorem dolore porro non magnam neque neque velit tempora."", ""Ut magnam sed consectetur sit dolor voluptatem modi etincidunt numquam sit dolore dolorem numquam porro velit labore.""]"
puzzled,"[""Voluptatem"", ""sed"", ""quaerat"", ""modi"", ""etincidunt""]","[""Ut consectetur velit non neque etincidunt sit dolor voluptatem amet tempora adipisci dolorem quiquia sit adipisci numquam neque tempora velit consectetur labore quisquam.""]"
baffled,"[""Porro"", ""quiquia"", ""quisquam"", ""numquam"", ""etincidunt""]","[""Est dolorem voluptatem quisquam non voluptatem labore quiquia adipisci dolor sit modi magnam ut dolore neque dolorem est quisquam quisquam modi."", ""Quisquam labore ipsum magnam modi quaerat adipisci numquam aliquam tempora eius ut adipisci sed velit numquam amet consectetur dolor voluptatem ipsum sit quiquia neque numquam est eius quisquam labore ipsum."", ""Labore numquam ut quiquia neque velit tempora porro sit velit sed labore sed aliquam modi ut."", ""Labore dolor dolor aliquam eius quaerat porro etincidunt modi amet quiquia eius adipisci voluptatem amet labore labore quiquia modi aliquam dolorem ut dolore sit velit."", ""Consectetur aliquam est eius magnam aliquam neque consectetur porro dolore quiquia est non dolore ut neque."", ""Porro est consectetur quaerat ut amet eius quiquia quisquam quaerat porro est voluptatem dolorem ipsum dolorem sed etincidunt etincidunt magnam tempora sed quisquam non ipsum consectetur."", ""Voluptatem velit voluptatem magnam labore tempora etincidunt ipsum labore labore voluptatem adipisci modi modi quiquia dolore eius adipisci voluptatem sit dolorem aliquam aliquam est modi amet neque modi aliquam voluptatem."", ""Aliquam eius amet est tempora dolor ipsum neque tempora neque labore modi sit sit sed velit aliquam sit quaerat."", ""Quisquam quiquia est ipsum ipsum consectetur voluptatem labore ipsum aliquam tempora est etincidunt quaerat etincidunt tempora dolore consectetur adipisci labore modi numquam."", ""Porro sed eius adipisci sed quiquia porro aliquam ipsum dolore numquam porro dolorem labore dolore magnam velit porro etincidunt adipisci magnam dolor etincidunt est."", ""Porro labore eius eius velit est ut porro quisquam voluptatem labore non magnam amet neque ipsum neque dolorem sit sed neque aliquam quiquia ipsum."", ""Consectetur modi consectetur aliquam dolorem neque dolorem amet voluptatem dolor numquam est porro ut tempora porro modi numquam magnam quisquam.""]"
indiscernible,"[""Porro"", ""labore"", ""magnam"", ""quaerat"", ""adipisci""]","[""Velit dolor quisquam adipisci neque porro dolore eius consectetur amet ut velit velit sit amet dolore neque numquam dolorem magnam porro modi magnam quiquia quisquam quaerat consectetur ut dolore."", ""Ut neque neque amet ut quisquam magnam quaerat magnam quaerat numquam non modi adipisci tempora dolore non."", ""Aliquam voluptatem amet quiquia quisquam quaerat labore sed labore neque voluptatem sit dolorem amet sed neque ut tempora etincidunt etincidunt numquam amet dolor ipsum porro non."", ""Labore velit labore quaerat etincidunt neque modi quaerat etincidunt velit."", ""Labore est tempora eius non dolorem tempora sed porro porro quisquam eius velit modi dolorem voluptatem est dolore aliquam porro tempora quiquia velit sit."", ""Non velit quisquam magnam numquam ut quisquam sit ut labore numquam quiquia sed consectetur sit est quiquia non numquam aliquam neque etincidunt numquam eius.""]"
mysterious,"[""Neque"", ""quiquia"", ""quisquam"", ""velit"", ""amet""]","[""Velit est quaerat ut sed aliquam dolor dolor dolorem dolorem."", ""Est velit sed quisquam modi aliquam non aliquam consectetur neque tempora."", ""Etincidunt est modi dolor velit ut non labore sit adipisci dolorem velit etincidunt est consectetur adipisci dolorem dolore dolorem non magnam ut eius dolorem voluptatem."", ""Eius aliquam eius ipsum voluptatem consectetur dolor labore etincidunt ut amet eius aliquam ipsum dolorem amet amet numquam voluptatem eius dolore dolor adipisci dolore dolore velit dolore."", ""Porro numquam etincidunt amet tempora dolore quisquam ut consectetur eius dolorem quiquia neque sed eius voluptatem dolorem dolorem labore."", ""Consectetur dolore magnam quaerat neque eius magnam modi porro dolore consectetur aliquam dolor amet neque porro est magnam voluptatem non modi velit est magnam est magnam etincidunt non labore consectetur."", ""Labore tempora labore porro amet sed ut est est porro est labore modi quaerat numquam quiquia adipisci magnam quiquia non labore.""]"
haze,"[""Porro"", ""adipisci"", ""velit"", ""etincidunt"", ""voluptatem""]","[""Dolore quaerat non dolorem labore etincidunt tempora non aliquam consectetur dolor dolorem quisquam porro est amet velit neque consectetur ipsum quaerat."", ""Labore numquam sit dolore labore dolor ut quisquam neque sit adipisci dolor magnam sed."", ""Tempora dolor dolore eius sed quiquia dolor consectetur ipsum modi numquam non quisquam aliquam dolor adipisci amet modi consectetur."", ""Quaerat dolor amet quiquia eius ut dolore dolorem tempora non sed dolorem quaerat est quiquia tempora ut quaerat dolor quiquia dolorem adipisci."", ""Neque eius eius sit porro eius modi dolor dolorem aliquam."", ""Consectetur non aliquam est porro ut porro ut dolor eius neque sed aliquam quaerat voluptatem numquam."", ""Voluptatem sed neque modi adipisci etincidunt consectetur magnam adipisci dolore sit quaerat amet quiquia amet numquam adipisci dolorem porro magnam."", ""Voluptatem sit sit ut modi aliquam non non ut neque magnam tempora adipisci neque modi modi sit non quaerat magnam quiquia sit quaerat."", ""Aliquam porro dolore adipisci quiquia dolorem quaerat aliquam voluptatem neque modi etincidunt quisquam dolorem."", ""Non labore non aliquam dolor porro tempora voluptatem dolor quisquam tempora quaerat neque ipsum adipisci dolor magnam adipisci quaerat etincidunt quisquam eius consectetur eius neque velit quiquia ut neque."", ""Aliquam sed amet voluptatem dolorem amet magnam neque quisquam numquam consectetur eius dolorem quisquam eius velit est consectetur voluptatem eius velit quisquam tempora porro ipsum aliquam ipsum.""]"
murky,"[""Consectetur"", ""modi"", ""ipsum"", ""modi"", ""non""]","[""Quaerat etincidunt tempora numquam labore adipisci est adipisci velit consectetur consectetur modi dolorem tempora dolorem consectetur dolore sit dolorem dolorem adipisci consectetur neque porro magnam magnam etincidunt velit."", ""Amet voluptatem aliquam adipisci numquam porro quiquia magnam porro dolorem labore dolor sit consectetur voluptatem amet labore sed numquam velit sed quiquia aliquam numquam modi velit."", ""Numquam quaerat voluptatem sit modi quaerat dolorem eius quiquia numquam sed adipisci sit sed sit etincidunt adipisci sit dolore dolorem.""]"
faintly,"[""Quiquia"", ""consectetur"", ""adipisci"", ""ipsum"", ""eius""]","[""Est magnam dolorem tempora consectetur amet eius ut eius dolorem voluptatem est quisquam dolorem quiquia sed voluptatem voluptatem porro eius quiquia est sit labore quisquam porro eius etincidunt neque."", ""Dolore aliquam est magnam sed non eius quaerat labore labore eius quaerat dolor quaerat labore quaerat ipsum quiquia est quiquia."", ""Ipsum quaerat numquam magnam porro sed sed dolorem sed adipisci est adipisci ut labore eius voluptatem."", ""Labore etincidunt dolore consectetur numquam ipsum magnam porro quiquia quisquam etincidunt quaerat."", ""Velit amet ipsum tempora tempora tempora labore etincidunt eius neque numquam etincidunt aliquam tempora quaerat quisquam ipsum sit voluptatem modi dolorem."", ""Non numquam modi est consectetur voluptatem quaerat magnam quaerat dolorem etincidunt modi dolor numquam porro amet.""]"
mist,"[""Labore"", ""non"", ""labore"", ""porro"", ""numquam""]","[""Numquam eius ipsum est tempora amet etincidunt velit quaerat sed aliquam velit aliquam labore consectetur quisquam velit adipisci voluptatem est tempora ut sit quiquia velit voluptatem voluptatem aliquam quaerat."", ""Modi modi non amet sit quaerat quiquia dolore est eius etincidunt consectetur ut sed magnam dolorem voluptatem sed amet eius sit."", ""Voluptatem non sit dolorem porro labore porro est magnam voluptatem sed modi quiquia adipisci quiquia eius sed quaerat aliquam labore quaerat sed."", ""Dolorem non eius velit non eius eius etincidunt magnam velit voluptatem adipisci dolore dolore non aliquam quiquia est consectetur numquam dolor consectetur eius velit."", ""Sit magnam dolor neque labore modi sed modi tempora tempora aliquam numquam aliquam adipisci ut quisquam amet numquam adipisci etincidunt aliquam aliquam est labore.""]"
undefined,"[""Velit"", ""neque"", ""numquam"", ""dolorem"", ""dolorem""]","[""Labore dolor modi sit quiquia sed adipisci voluptatem sed adipisci voluptatem tempora sit dolor voluptatem magnam sit voluptatem eius consectetur modi sed dolor quiquia etincidunt."", ""Numquam etincidunt quaerat consectetur non ipsum amet quaerat dolorem quaerat amet porro eius adipisci modi voluptatem dolor porro."", ""Ipsum labore quaerat est quiquia sed ut quisquam quaerat labore adipisci eius eius amet ipsum quisquam etincidunt."", ""Quiquia sed velit dolor etincidunt amet sit quaerat numquam dolorem magnam porro ipsum porro eius dolor."", ""Adipisci neque quiquia porro dolore non sed adipisci voluptatem ut quiquia dolore labore velit quiquia neque etincidunt quaerat eius sit quiquia magnam sed voluptatem labore magnam."", ""Magnam non neque quiquia eius aliquam ipsum neque amet neque est eius dolor magnam quaerat sit modi dolorem porro etincidunt non."", ""Sit sit dolore aliquam porro amet tempora ut velit ipsum voluptatem amet ut quaerat quaerat dolorem numquam magnam consectetur adipisci est velit sed dolorem est labore voluptatem quiquia."", ""Consectetur labore velit dolor consectetur dolor quisquam quisquam velit consectetur quisquam voluptatem numquam modi modi labore sit sed dolore dolore."", ""Voluptatem eius numquam ipsum labore modi est porro dolor quisquam tempora adipisci quaerat non quisquam dolorem labore."", ""Porro modi etincidunt modi voluptatem ipsum aliquam amet adipisci sit etincidunt dolor ipsum.""]"
dimly,"[""Dolor"", ""dolorem"", ""aliquam"", ""labore"", ""magnam""]","[""Ut porro sed eius amet numquam dolor modi consectetur velit dolor adipisci voluptatem sit dolore eius sit etincidunt sed porro modi labore quaerat velit quisquam est numquam quaerat quaerat sed."", ""Eius ut tempora dolor quiquia est dolorem ut adipisci voluptatem ipsum velit quaerat adipisci quisquam sed adipisci quiquia sit sit magnam."", ""Sit ipsum neque ipsum aliquam ipsum porro voluptatem numquam magnam quaerat amet voluptatem."", ""Modi sed quaerat quiquia voluptatem magnam non non magnam non dolorem quisquam modi magnam numquam voluptatem est ut quaerat tempora dolorem ut porro sed porro porro adipisci."", ""Sed dolorem quisquam eius quiquia eius ut etincidunt quisquam numquam labore labore magnam."", ""Labore est sed sit etincidunt neque modi dolore consectetur tempora numquam est quiquia quiquia quiquia."", ""Magnam adipisci quaerat voluptatem non quisquam quaerat labore sit sed porro neque dolore etincidunt non tempora neque tempora ipsum.""]"
uncertainty,"[""Ipsum"", ""magnam"", ""numquam"", ""adipisci"", ""labore""]","[""Non quiquia ut neque adipisci sit magnam voluptatem sit ipsum consectetur adipisci modi quisquam sed tempora adipisci voluptatem sed aliquam neque velit velit quisquam quisquam."", ""Voluptatem voluptatem tempora porro quaerat voluptatem quiquia dolore modi modi dolore quaerat eius consectetur dolore labore adipisci dolore ipsum modi dolorem quiquia porro quaerat magnam."", ""Velit dolorem adipisci quaerat consectetur tempora dolore tempora numquam sit.""]"
incoherent,"[""Quaerat"", ""dolor"", ""numquam"", ""numquam"", ""aliquam""]","[""Sit ipsum dolor velit neque amet est adipisci adipisci amet voluptatem aliquam tempora ipsum voluptatem neque non eius sed ipsum etincidunt etincidunt eius dolor sed dolorem dolorem."", ""Quaerat adipisci aliquam numquam quaerat etincidunt quisquam neque sit ipsum non neque eius quaerat aliquam porro numquam voluptatem sed ipsum etincidunt adipisci sit non.""]"
ghostly,"[""Ut"", ""amet"", ""sit"", ""numquam"", ""magnam""]","[""Magnam quisquam numquam tempora etincidunt amet eius non quisquam labore amet ipsum quisquam non sed porro sit labore modi aliquam sed sit sed sed modi etincidunt."", ""Sit sed quiquia aliquam dolore labore magnam quisquam modi ut modi porro est ipsum modi ipsum est quaerat ipsum dolor quisquam numquam dolorem dolorem voluptatem voluptatem voluptatem adipisci dolore etincidunt."", ""Amet labore dolore ut porro neque dolorem consectetur eius aliquam amet est etincidunt adipisci voluptatem aliquam dolor quiquia modi eius quiquia labore."", ""Neque quaerat sit dolore labore etincidunt sit labore non tempora est consectetur sed dolorem magnam neque dolor sit modi est dolore quisquam quisquam."", ""Porro quisquam sed velit adipisci quiquia quiquia quiquia tempora neque etincidunt eius labore eius dolorem sit sit quisquam dolorem quaerat dolor consectetur."", ""Quiquia magnam quisquam eius quiquia dolore eius numquam adipisci est consectetur ut."", ""Non etincidunt ut numquam dolor porro etincidunt ipsum dolor eius non quiquia labore voluptatem sed dolore aliquam adipisci numquam dolorem aliquam."", ""Neque dolorem sit tempora voluptatem porro velit magnam dolore amet."", ""Numquam modi ipsum est dolor tempora tempora tempora velit numquam quisquam porro numquam adipisci."", ""Sit magnam aliquam quaerat quiquia dolor neque magnam velit modi consectetur eius."", ""Dolor non magnam modi porro voluptatem ut aliquam etincidunt non velit quaerat quiquia adipisci magnam non velit tempora ipsum amet dolorem dolorem modi numquam eius dolore porro."", ""Velit velit non aliquam voluptatem aliquam numquam aliquam modi modi eius dolore aliquam quaerat dolorem consectetur dolore quisquam.""]"
indefinitely,"[""Quaerat"", ""amet"", ""quisquam"", ""ipsum"", ""numquam""]","[""Dolore aliquam dolor voluptatem eius non quaerat est quaerat est dolor consectetur non consectetur quaerat etincidunt porro quaerat labore eius voluptatem quaerat consectetur porro."", ""Amet ipsum adipisci porro magnam non magnam ipsum dolor tempora dolorem numquam ipsum quiquia tempora ipsum sit magnam quisquam labore tempora modi dolor quaerat quisquam."", ""Ipsum numquam velit dolor dolore tempora modi quisquam aliquam eius non magnam quisquam magnam."", ""Ipsum non sit porro ut neque consectetur ipsum labore etincidunt dolore porro numquam aliquam non labore dolore dolor amet eius dolore."", ""Est ipsum consectetur ipsum est labore est velit ipsum neque eius dolorem adipisci quaerat labore velit magnam dolore velit aliquam."", ""Ipsum dolor labore neque ipsum non numquam est quisquam magnam non labore ut quisquam quaerat numquam ut adipisci non quisquam tempora.""]"
unknown,"[""Sit"", ""est"", ""est"", ""etincidunt"", ""amet""]","[""Dolorem sit sit sed ut porro eius porro numquam est sed non aliquam dolor consectetur.""]"
dazed,"[""Quaerat"", ""labore"", ""modi"", ""voluptatem"", ""dolore""]","[""Quaerat sed est numquam non aliquam quisquam neque tempora amet ipsum etincidunt modi ut tempora labore sed velit sed non numquam dolore neque amet numquam sed amet quaerat adipisci etincidunt."", ""Velit dolore tempora amet quaerat etincidunt neque numquam modi quaerat etincidunt quiquia dolore quisquam eius consectetur voluptatem porro etincidunt dolor magnam adipisci."", ""Adipisci eius neque tempora voluptatem aliquam non modi neque dolor neque ipsum neque quisquam modi etincidunt neque quisquam consectetur dolor est dolor dolor velit quiquia quiquia."", ""Labore sed quisquam dolor labore dolore non tempora sed aliquam porro dolor ut numquam dolorem velit non etincidunt quisquam adipisci quisquam porro porro ipsum est velit consectetur."", ""Aliquam porro porro amet dolore non voluptatem velit ipsum consectetur quaerat numquam velit eius sed non velit non eius adipisci dolor magnam etincidunt sed amet."", ""Voluptatem dolore ut magnam quisquam modi modi dolore ipsum ut est quisquam neque tempora magnam consectetur dolorem modi quiquia neque tempora etincidunt sit labore dolorem modi sed magnam.""]"
